#No.      Date        Time         Lat.      Lon.        Dep.     Mag.   Coef.      Times_MAD           Reference
   1   2023/12/01   05:57:18.170   19.3660   -99.2020     0.78    0.80  0.3092     9.2200      20231203002902.38
   2   2023/12/01   06:02:52.380   19.3630   -99.2000     1.42    0.09  0.3507     9.1700      20231212170855.36
   3   2023/12/01   07:55:20.120   19.3680   -99.1980     0.99    0.32  0.3551     9.1700      20231212170627.74
   1   2023/12/02   18:17:58.660   19.3670   -99.1990     0.91    0.92  0.3006     9.0000      20231228093354.80
   1   2023/12/03   00:29:02.380   19.3640   -99.2000     0.88    2.00  0.8907    25.7600      20231203002902.38
   2   2023/12/03   05:26:44.420   19.3660   -99.1970     0.99    0.52  0.3310     9.0700      20231212171437.60
   3   2023/12/03   07:45:00.720   19.3680   -99.1990     0.89    0.97  0.3036     9.0700      20231228094951.29
   4   2023/12/03   21:29:46.730   19.3670   -99.2020     1.22    0.78  0.3496     9.0100      20231212170753.06
   1   2023/12/04   05:45:38.620   19.3670   -99.1980     0.76    0.66  0.3091     9.4500      20231226133545.28
   2   2023/12/04   18:48:11.720   19.3650   -99.1970     0.89    0.99  0.3484     9.6500      20231212171437.60
   1   2023/12/05   02:47:13.530   19.3670   -99.2000     1.30    1.02  0.3174     9.0700      20231214201314.72
   2   2023/12/05   11:27:15.720   19.3670   -99.1990     1.01    1.01  0.3012     9.0400      20231228093354.80
   3   2023/12/05   16:28:32.890   19.3660   -99.2010     1.13    0.84  0.3435     9.3600      20231214201520.68
   1   2023/12/06   05:01:31.100   19.3660   -99.1970     0.84    1.22  0.3163     9.5200      20231228094951.29
   2   2023/12/06   08:23:10.880   19.3660   -99.2000     1.17    0.44  0.3878     9.9500      20231212170753.06
   1   2023/12/07   06:27:21.370   19.3650   -99.2020     0.98    0.79  0.3165     9.2900      20231203002902.38
   2   2023/12/07   11:49:48.300   19.3700   -99.2010     0.81    0.56  0.2927     9.0900      20231226133545.28
