#No.      Date        Time         Lat.      Lon.        Dep.     Mag.   Coef.      Times_MAD           Reference
   1   2023/05/01   11:35:55.540   19.3610   -99.1945     1.73    0.95  0.2654     9.1800      20230511150531.12
   2   2023/05/01   12:21:42.230   19.3625   -99.1940     1.22    1.01  0.2485     9.0300      20230511074322.89
   1   2023/05/02   02:35:25.210   19.3660   -99.1930     1.35    0.77  0.2914     9.2400      20230511042129.23
   1   2023/05/03   11:17:15.900   19.3655   -99.1860     1.41    1.17  0.2847     9.1300      20230511143828.21
   1   2023/05/04   04:22:00.480   19.3750   -99.1930     1.60    1.57  0.2814     9.0300      20230515004101.45
   2   2023/05/04   08:11:22.880   19.3635   -99.1825     0.99    1.08  0.3020     9.0900      20230516105030.89
   3   2023/05/04   08:19:42.930   19.3600   -99.1885     1.72    0.44  0.3380     9.6100      20230511165546.88
   4   2023/05/04   18:45:29.300   19.3615   -99.2005     0.82    1.16  0.2769     9.8400      20230511042017.00
   1   2023/05/05   05:42:40.150   19.3610   -99.1960     1.58    0.91  0.2727     9.4500      20230511150531.12
   2   2023/05/05   06:24:18.120   19.3640   -99.1910     1.23    1.21  0.2751     9.0900      20230511152523.27
   3   2023/05/05   10:22:56.880   19.3610   -99.1925     1.27    0.92  0.2489     9.0600      20230511074322.89
   4   2023/05/05   12:04:37.160   19.3630   -99.1975     1.02    1.07  0.2819    10.0500      20230511042017.00
   1   2023/05/07   06:38:12.110   19.3600   -99.1895     1.37    1.17  0.2715     9.0700      20230512234650.64
   1   2023/05/08   10:53:39.790   19.3640   -99.1940     1.17    0.98  0.2535     9.1500      20230511074322.89
   2   2023/05/08   18:15:02.550   19.3670   -99.1845     1.61    1.46  0.2939     9.4200      20230511143828.21
   3   2023/05/08   19:23:05.960   19.3610   -99.1845     1.41    1.50  0.2811     9.0100      20230511143828.21
   1   2023/05/09   05:51:10.700   19.3630   -99.1825     1.63    1.08  0.3181     9.4300      20230517040903.56
   2   2023/05/09   08:59:00.930   19.3630   -99.1980     0.68    1.44  0.2703     9.0400      20230511042951.59
   3   2023/05/09   09:20:45.760   19.3660   -99.2005     0.87    0.82  0.2620     9.2900      20230511042017.00
   4   2023/05/09   10:56:59.190   19.3645   -99.1870     1.82    0.67  0.3325     9.4200      20230511165546.88
   1   2023/05/10   11:50:35.900   19.3630   -99.1885     1.82    0.65  0.3215     9.1800      20230511165546.88
   1   2023/05/11   04:20:19.760   19.3640   -99.1970     0.91    3.20  1.0000    34.5900      20230511042019.76
   2   2023/05/11   04:21:29.230   19.3690   -99.1900     1.40    1.40  0.9817    31.1100      20230511042129.23
   3   2023/05/11   04:21:48.520   19.3660   -99.1930     1.30    0.87  0.3001     9.5100      20230511042129.23
   4   2023/05/11   04:22:04.660   19.3675   -99.1950     0.95    1.09  0.3061     9.4800      20230511042229.97
   5   2023/05/11   04:22:29.970   19.3690   -99.1980     0.95    1.30  0.9624    29.8100      20230511042229.97
   6   2023/05/11   04:23:12.930   19.3600   -99.2025     0.83    1.83  0.3670    12.3300      20230511042951.59
   7   2023/05/11   04:24:34.060   19.3720   -99.1980     0.85    1.09  0.3078     9.5300      20230511042229.97
   8   2023/05/11   04:25:56.960   19.3640   -99.1980     0.76    1.10  0.9721    31.8200      20230511042556.96
   9   2023/05/11   04:29:51.590   19.3600   -99.2010     0.78    2.60  0.9951    33.4300      20230511042951.59
  10   2023/05/11   04:34:53.090   19.3630   -99.1930     1.23    1.80  0.9755    32.9900      20230511043453.09
  11   2023/05/11   04:40:35.130   19.3585   -99.2025     0.83    2.18  0.4117    13.8300      20230511042951.59
