#No.      Date        Time         Lat.      Lon.        Dep.     Mag.   Coef.      Times_MAD           Reference
  16   2023/12/12   17:19:06.910   19.3670   -99.2010     0.79    1.02  0.3668    10.0900      20231212171437.60
  17   2023/12/12   17:28:56.500   19.3690   -99.1970     0.90    1.90  1.0000    28.0600      20231212172856.50
  18   2023/12/12   19:00:20.380   19.3640   -99.1975     0.94    1.25  0.3105     9.2900      20231228094951.29
  19   2023/12/12   20:23:09.880   19.3620   -99.2010     1.03    2.10  1.0000    25.0200      20231212202309.88
   1   2023/12/13   04:27:44.120   19.3660   -99.2000     0.32    1.39  0.3612     9.9700      20231215102230.84
   2   2023/12/13   15:14:16.960   19.3655   -99.1990     1.08    0.81  0.3307     9.1000      20231214201520.68
   1   2023/12/14   04:37:43.500   19.3660   -99.2000     0.58    0.97  0.3345     9.2200      20231212171437.68
   2   2023/12/14   11:45:32.170   19.3685   -99.1995     1.03    0.72  0.3258     9.1600      20231212171229.12
   3   2023/12/14   13:16:44.090   19.3680   -99.1960     1.02    0.88  0.3300     9.0500      20231215052526.00
   4   2023/12/14   18:37:21.830   19.3665   -99.2005     0.81    1.24  0.3146     9.5600      20231226133545.28
   5   2023/12/14   20:13:14.720   19.3650   -99.1990     1.20    3.20  0.7237    20.6700      20231214201314.72
   6   2023/12/14   20:15:20.680   19.3640   -99.1990     1.03    2.50  0.6883    18.9400      20231214201520.68
   1   2023/12/15   04:50:50.980   19.3675   -99.2030     1.12    0.73  0.3582     9.1100      20231212170753.06
   2   2023/12/15   05:25:26.000   19.3650   -99.1990     1.07    1.30  0.9999    28.6100      20231215052526.00
   3   2023/12/15   09:00:23.840   19.3645   -99.2000     0.69    0.73  0.3136     9.0300      20231212171437.68
   4   2023/12/15   09:05:41.320   19.3710   -99.1990     0.76    0.68  0.2877     9.0800      20231226133545.28
   5   2023/12/15   09:48:22.210   19.3620   -99.2005     1.17    0.73  0.3313     9.4800      20231215052526.00
   6   2023/12/15   10:22:30.840   19.3660   -99.1970     0.42    1.60  1.0000    28.8200      20231215102230.84
   7   2023/12/15   10:28:57.890   19.3675   -99.2015     1.14    1.27  0.3447    10.2500      20231216091035.51
   8   2023/12/15   14:59:35.840   19.3660   -99.2000     1.00    1.40  0.3106     9.1300      20231212172856.50
   1   2023/12/16   02:26:43.000   19.3640   -99.1960     0.86    1.03  0.3107     9.2000      20231228093354.80
   2   2023/12/16   06:34:48.910   19.3640   -99.1975     0.99    1.17  0.3108     9.2800      20231228094951.29
   3   2023/12/16   09:10:35.510   19.3660   -99.2000     1.14    1.60  1.0000    28.6400      20231216091035.51
   1   2023/12/17   04:25:49.860   19.3660   -99.2015     1.38    1.05  0.3500     9.2500      20231212171744.04
   2   2023/12/17   07:23:31.440   19.3675   -99.2000     1.27    0.43  0.3582     9.2800      20231212170753.06
   3   2023/12/17   10:44:35.370   19.3645   -99.1970     1.12    0.45  0.3556     9.2100      20231212170753.06
   4   2023/12/17   12:53:04.610   19.3655   -99.1980     0.89    0.76  0.3425     9.2300      20231212171437.60
   5   2023/12/17   15:48:10.000   19.3615   -99.2030     1.33    1.15  0.3426     9.0600      20231212171744.04
   1   2023/12/18   08:07:49.550   19.3650   -99.1990     0.86    0.58  0.3041     9.3400      20231226133545.28
   2   2023/12/18   19:27:55.980   19.3620   -99.2030     1.70    1.10  1.0000    27.9800      20231218192755.98
   3   2023/12/18   22:09:41.680   19.3650   -99.2040     0.98    1.64  0.3658     9.0900      20231212202309.88
   1   2023/12/19   01:30:28.400   19.3615   -99.2030     1.33    1.22  0.3518     9.6600      20231212171744.04
   2   2023/12/19   10:37:06.210   19.3630   -99.2010     0.99    0.53  0.3781     9.4900      20231212170627.74
   3   2023/12/19   10:39:51.280   19.3665   -99.1975     0.76    0.65  0.2993     9.2700      20231226133545.28
   4   2023/12/19   10:53:05.190   19.3675   -99.1970     1.32    0.50  0.3806     9.6000      20231212170753.06
   5   2023/12/19   13:44:02.870   19.3635   -99.2045     1.80    0.67  0.3308     9.3800      20231218192755.98
   1   2023/12/20   09:54:30.690   19.3660   -99.2010     0.99    0.07  0.3743     9.4000      20231212170627.74
   2   2023/12/20   18:28:33.790   19.3650   -99.1960     1.02    0.89  0.3342     9.1000      20231215052526.00
   1   2023/12/21   00:14:49.750   19.3620   -99.2025     1.13    2.02  0.5864    14.6000      20231212202309.88
   2   2023/12/21   01:43:16.630   19.3680   -99.2005     0.76    0.63  0.2994     9.1100      20231226133545.28
   3   2023/12/21   10:24:03.060   19.3635   -99.2025     1.13    1.29  0.3674     9.1500      20231212202309.88
   4   2023/12/21   12:42:15.770   19.3630   -99.1955     0.52    1.33  0.3404     9.4600      20231215102230.84
   5   2023/12/21   17:17:57.720   19.3630   -99.1940     0.48    1.07  0.3342     9.1800      20231212171437.68
   6   2023/12/21   21:24:03.570   19.3630   -99.1980     1.14    0.67  0.3638     9.1000      20231212170627.74
   1   2023/12/22   06:42:47.210   19.3670   -99.1980     1.13    0.22  0.3008     9.1200      20231212171229.12
   2   2023/12/22   06:54:45.400   19.3665   -99.1960     1.17    0.71  0.3226     9.3800      20231215052526.00
   3   2023/12/22   07:26:20.080   19.3590   -99.1980     1.03    1.26  0.3413     9.2700      20231212202309.88
   4   2023/12/22   08:04:56.580   19.3630   -99.1980     1.47   -0.44  0.3281     9.0300      20231212170855.36
   5   2023/12/22   08:20:05.520   19.3650   -99.2025     1.08    1.43  0.3399     9.2300      20231212202309.88
   6   2023/12/22   12:45:51.690   19.3685   -99.1980     1.03    0.21  0.2983     9.0500      20231212171229.12
   7   2023/12/22   17:42:16.420   19.3710   -99.1960     0.81    0.72  0.2856     9.2000      20231226133545.28
   8   2023/12/22   18:04:53.060   19.3640   -99.1975     1.06    0.79  0.2954     9.1800      20231228093354.80
   9   2023/12/22   18:43:45.730   19.3685   -99.1950     1.13    0.30  0.3233     9.8000      20231212171229.12
  10   2023/12/22   19:35:58.810   19.3665   -99.1960     0.97    0.80  0.3148     9.1500      20231215052526.00
  11   2023/12/22   20:22:54.510   19.3665   -99.2020     0.91    0.64  0.2801     9.0300      20231226133545.28
   1   2023/12/23   06:01:12.690   19.3625   -99.2005     1.13    0.49  0.3546     9.5800      20231214201520.68
   2   2023/12/23   11:36:26.370   19.3680   -99.2020     1.25    0.71  0.3343     9.3800      20231214201314.72
   3   2023/12/23   11:44:42.440   19.3655   -99.1950     0.99    0.74  0.3347     9.2100      20231212171437.60
   4   2023/12/23   16:29:17.010   19.3685   -99.1965     0.99    0.83  0.3391     9.3300      20231212171437.60
   1   2023/12/25   11:30:43.250   19.3690   -99.1985     0.85    0.64  0.3313     9.2800      20231212172856.50
   2   2023/12/25   12:01:23.200   19.3645   -99.1995     1.14    0.21  0.3655     9.5800      20231212170627.74
   1   2023/12/26   03:12:49.940   19.3640   -99.1970     0.83    0.77  0.3411     9.8000      20231203002902.38
   2   2023/12/26   13:35:45.280   19.3680   -99.1990     0.86    1.40  0.8370    25.6700      20231226133545.28
   3   2023/12/26   22:53:19.340   19.3630   -99.1940     0.48    1.18  0.3359     9.2200      20231212171437.68
   1   2023/12/27   10:25:50.550   19.3660   -99.2015     1.32    0.29  0.3672     9.3300      20231212170753.06
   2   2023/12/27   12:18:04.150   19.3650   -99.2060     1.60    0.71  0.3238     9.0700      20231218192755.98
   3   2023/12/27   13:18:11.780   19.3690   -99.1965     1.14    0.52  0.3632     9.1200      20231212170627.74
   4   2023/12/27   21:57:58.200   19.3700   -99.1995     0.93    0.75  0.3298     9.0700      20231212171229.12
   5   2023/12/27   22:18:25.290   19.3705   -99.1970     1.00    1.45  0.3362     9.4200      20231212172856.50
   6   2023/12/27   22:31:21.980   19.3645   -99.1955     0.64    1.21  0.3560     9.7300      20231212171437.68
   7   2023/12/27   22:53:12.230   19.3650   -99.1975     0.96    0.77  0.3146     9.5900      20231226133545.28
   1   2023/12/28   09:33:54.800   19.3670   -99.1990     0.96    1.80  1.0000    29.5600      20231228093354.80
   2   2023/12/28   09:49:51.290   19.3670   -99.1990     0.94    1.50  1.0000    29.7900      20231228094951.29
   3   2023/12/28   18:52:39.950   19.3700   -99.1980     1.08    0.68  0.3307     9.1800      20231212171229.12
   4   2023/12/28   22:01:03.420   19.3640   -99.1950     1.03    0.82  0.3258     9.0400      20231212171229.12
   1   2023/12/29   10:44:42.240   19.3630   -99.1970     0.58    0.52  0.3316     9.1300      20231212171437.68
   2   2023/12/29   22:48:58.640   19.3630   -99.1970     0.48    0.97  0.3424     9.4300      20231212171437.68
   1   2023/12/30   03:47:01.900   19.3625   -99.1970     0.98    0.86  0.3130     9.0300      20231203002902.38
   2   2023/12/30   07:02:46.760   19.3640   -99.1990     0.86    1.12  0.3116     9.1700      20231228093354.80
   1   2023/12/31   07:40:14.400   19.3630   -99.2030     1.27    0.77  0.3467     9.0100      20231212170753.06
   2   2023/12/31   11:45:52.030   19.3630   -99.2030     1.32    0.20  0.3688     9.5800      20231212170753.06
   3   2023/12/31   14:20:37.460   19.3620   -99.2040     1.03    1.85  0.4242    10.7000      20231212202309.88
   4   2023/12/31   15:26:59.130   19.3625   -99.2005     1.13    0.68  0.3315     9.0700      20231214201520.68
