Date,time,latitutde,longitude,depth,magnitude,cc,MAD,waveforms
2023/05/11,04:22:04.310,19.3710,-99.2020,1.50,0.89,0.3609,11.4900,DetectedFinal_20230511_04.jpg
2023/05/11,04:22:29.630,19.3730,-99.2060,1.00,1.30,0.9992,31.8200,DetectedFinal_20230511_05.jpg
2023/05/11,04:23:09.400,19.3720,-99.2030,1.50,1.30,0.3799,13.8300,DetectedFinal_20230511_06.jpg
2023/05/11,04:24:12.500,19.3600,-99.2010,1.00,1.00,0.9982,32.3400,DetectedFinal_20230511_07.jpg
2023/05/11,04:24:33.650,19.3770,-99.2100,0.50,0.84,0.3208,10.2100,DetectedFinal_20230511_08.jpg
2023/05/11,04:25:59.470,19.3600,-99.2050,1.00,1.50,0.9995,34.4300,DetectedFinal_20230511_09.jpg
2023/05/11,04:29:51.830,19.3600,-99.2010,1.50,2.60,0.9999,33.6800,DetectedFinal_20230511_10.jpg
2023/05/11,04:34:52.890,19.3660,-99.2010,1.00,1.80,0.9998,39.5400,DetectedFinal_20230511_11.jpg
2023/05/11,04:37:32.940,19.3560,-99.1930,1.50,1.36,0.2568,9.3700,DetectedFinal_20230511_12.jpg
2023/05/11,04:40:07.180,19.3560,-99.2020,1.20,1.01,0.3212,9.6500,DetectedFinal_20230511_13.jpg
2023/05/11,04:40:31.750,19.3570,-99.2120,1.00,1.30,0.9989,32.2400,DetectedFinal_20230511_14.jpg
2023/05/11,05:13:58.470,19.3620,-99.2010,0.50,1.59,0.2614,9.1300,DetectedFinal_20230511_15.jpg
2023/05/11,05:19:31.770,19.3600,-99.2000,1.20,1.00,0.9953,29.9100,DetectedFinal_20230511_16.jpg
2023/05/11,07:43:22.960,19.3670,-99.1880,1.00,2.00,0.9999,40.9000,DetectedFinal_20230511_17.jpg
2023/05/11,08:21:46.740,19.4310,-99.1770,1.00,1.80,0.9959,27.2400,DetectedFinal_20230511_18.jpg
2023/05/11,08:53:24.940,19.3670,-99.1960,1.25,0.42,0.2452,9.0100,DetectedFinal_20230511_19.jpg
2023/05/11,10:39:30.880,19.3680,-99.2040,1.50,0.83,0.4524,16.6700,DetectedFinal_20230511_20.jpg
2023/05/11,13:25:10.190,19.3670,-99.2040,1.00,1.60,0.9999,34.9400,DetectedFinal_20230511_21.jpg
2023/05/11,14:03:07.500,19.3560,-99.1980,1.00,1.30,0.2721,9.5000,DetectedFinal_20230511_22.jpg
2023/05/11,14:14:34.380,19.3580,-99.2020,1.25,1.38,0.3219,11.2300,DetectedFinal_20230511_23.jpg
2023/05/11,14:38:27.900,19.3600,-99.2000,1.00,1.60,0.9998,34.8900,DetectedFinal_20230511_24.jpg
2023/05/11,14:41:20.320,19.3600,-99.2000,1.40,0.66,0.2582,9.1700,DetectedFinal_20230511_25.jpg
2023/05/11,14:43:40.710,19.3600,-99.2000,1.40,1.20,0.9998,35.5200,DetectedFinal_20230511_26.jpg
2023/05/11,15:05:31.100,19.3650,-99.2030,1.00,2.20,1.0000,39.2500,DetectedFinal_20230511_27.jpg
2023/05/11,15:19:03.010,19.3550,-99.1860,0.75,1.01,0.2719,10.3400,DetectedFinal_20230511_28.jpg
2023/05/11,15:25:23.520,19.3590,-99.1880,1.00,2.00,1.0000,38.0300,DetectedFinal_20230511_29.jpg
2023/05/11,15:50:31.610,19.3670,-99.1920,1.50,1.00,0.2255,9.2200,DetectedFinal_20230511_30.jpg
2023/05/11,15:58:09.090,19.3600,-99.2010,1.00,1.30,0.9997,29.1600,DetectedFinal_20230511_31.jpg
2023/05/11,16:01:19.270,19.3560,-99.1960,1.25,0.58,0.3093,10.7400,DetectedFinal_20230511_32.jpg
2023/05/11,16:46:23.380,19.3620,-99.2020,1.25,0.90,0.3247,10.4800,DetectedFinal_20230511_33.jpg
2023/05/11,16:55:46.870,19.3600,-99.2000,1.00,1.20,0.9999,32.2700,DetectedFinal_20230511_34.jpg
2023/05/11,17:13:02.410,19.3600,-99.2000,1.00,1.00,0.9998,34.7100,DetectedFinal_20230511_35.jpg
2023/05/11,19:04:15.380,19.3690,-99.1990,1.50,0.70,0.2461,9.2600,DetectedFinal_20230511_36.jpg
2023/05/11,20:07:49.280,19.3690,-99.2040,0.75,1.64,0.5663,20.3200,DetectedFinal_20230511_37.jpg
2023/05/11,21:00:54.760,19.3560,-99.2040,0.75,0.62,0.3188,11.0700,DetectedFinal_20230511_38.jpg
