#No.      Date        Time         Lat.      Lon.        Dep.     Mag.   Coef.      Times_MAD           Reference
   6   2023/12/12   13:11:44.880   19.3720   -99.1990     0.91    0.76  0.2914     9.0300      20231226133545.28
   7   2023/12/12   17:06:27.740   19.3660   -99.1980     1.04    2.70  1.0000    25.6000      20231212170627.74
   8   2023/12/12   17:07:53.060   19.3660   -99.2000     1.22    3.00  1.0000    25.5300      20231212170753.06
   9   2023/12/12   17:08:55.360   19.3630   -99.2010     1.37    2.40  1.0000    25.7000      20231212170855.36
  10   2023/12/12   17:09:06.040   19.3700   -99.1980     0.59    1.60  1.0000    23.7300      20231212170906.04
  11   2023/12/12   17:09:43.830   19.3670   -99.2010     1.07    1.19  0.5122    13.9700      20231215052526.00
  12   2023/12/12   17:11:34.830   19.3690   -99.2010     1.01    1.43  0.3522    10.4800      20231228093354.80
  13   2023/12/12   17:12:29.120   19.3670   -99.1980     1.03    1.10  0.9999    27.8400      20231212171229.12
  14   2023/12/12   17:14:20.190   19.3660   -99.1970     0.58    1.24  0.5688    15.6400      20231212171437.68
  15   2023/12/12   17:14:37.600   19.3670   -99.1980     0.89    1.50  1.0000    27.5000      20231212171437.60
  16   2023/12/12   17:17:44.040   19.3630   -99.2000     1.28    1.70  1.0000    26.5600      20231212171744.04
  17   2023/12/12   17:19:06.800   19.3620   -99.2010     0.64    1.27  0.3643    10.0200      20231212171437.68
  18   2023/12/12   17:28:56.500   19.3690   -99.1970     0.90    1.90  1.0000    28.0600      20231212172856.50
  19   2023/12/12   20:23:09.880   19.3620   -99.2010     1.03    2.10  1.0000    25.0200      20231212202309.88
   1   2023/12/13   04:27:44.050   19.3660   -99.2010     0.37    1.39  0.3611     9.9700      20231215102230.84
   2   2023/12/13   06:46:50.920   19.3650   -99.1990     0.85    0.86  0.3200     9.0800      20231212172856.50
   1   2023/12/14   04:37:43.570   19.3650   -99.1980     0.79    0.77  0.3321     9.1700      20231212171437.60
   2   2023/12/14   09:26:51.460   19.3660   -99.1940     1.04    0.26  0.3551     9.1200      20231212170627.74
   3   2023/12/14   18:37:21.920   19.3660   -99.1990     0.76    1.24  0.3089     9.3900      20231226133545.28
   4   2023/12/14   20:13:14.720   19.3650   -99.1990     1.20    3.20  0.7237    20.6700      20231214201314.72
   5   2023/12/14   20:15:20.680   19.3640   -99.1990     1.03    2.50  0.6883    18.9400      20231214201520.68
   1   2023/12/15   04:50:50.800   19.3620   -99.2040     1.32    0.73  0.3909     9.9400      20231212170753.06
   2   2023/12/15   05:25:26.000   19.3650   -99.1990     1.07    1.30  0.9999    28.6100      20231215052526.00
   3   2023/12/15   06:02:32.290   19.3650   -99.1950     1.06    0.91  0.2934     9.0400      20231228093354.80
   4   2023/12/15   09:05:41.450   19.3660   -99.1950     0.91    0.68  0.2970     9.3800      20231226133545.28
   5   2023/12/15   09:25:20.370   19.3690   -99.2020     0.79    0.59  0.3245     9.3000      20231212171437.60
   6   2023/12/15   09:31:38.780   19.3630   -99.2030     0.86    0.91  0.2972     9.1500      20231228093354.80
   7   2023/12/15   09:48:22.410   19.3650   -99.1990     0.97    0.73  0.3181     9.1000      20231215052526.00
