-99.19708	19.307713
-99.19919	19.297293
-99.19894	19.29822
-99.19894	19.299433
-99.19886	19.300575
-99.19868	19.301825
-99.19849	19.302824
-99.19816	19.30368
-99.19794	19.304321
-99.19771	19.305037
-99.197525	19.305857
-99.1973	19.306784
-99.19694	19.308496
-99.19664	19.309425
-99.19642	19.310318
-99.196045	19.310925
-99.19571	19.311638
-99.19523	19.312244
-99.19442	19.31285
-99.19353	19.313278
-99.192604	19.313671
-99.19168	19.3141
-99.19057	19.314884
-99.19001	19.315456
-99.18942	19.315956
-99.18883	19.31642
-99.18827	19.317205
-99.18787	19.317846
-99.18761	19.318846
-99.18757	19.319595
-99.18749	19.320345
-99.18742	19.320915
-99.187386	19.321594
-99.18735	19.322378
-99.18727	19.323057
-99.18746	19.323664
-99.18772	19.324343
-99.18805	19.324877
-99.18816	19.325697
-99.18816	19.326483
-99.18816	19.327662
-99.18827	19.328625
-99.18846	19.329765
-99.18835	19.330587
-99.18823	19.331657
-99.18816	19.33262
-99.18797	19.333656
-99.18797	19.334726
-99.18827	19.33569
-99.18823	19.336653
-99.1882	19.337475
-99.18823	19.338331
-99.18809	19.339151
-99.18772	19.339972
-99.18746	19.3409
-99.18705	19.34172
-99.18675	19.342613
-99.18649	19.343363
-99.18627	19.344112
-99.18605	19.345003
-99.18594	19.345682
-99.18572	19.346502
-99.18539	19.347502
-99.18501	19.348858
-99.18479	19.349714
-99.18501	19.350357
-99.185234	19.35107
