#No.      Date        Time         Lat.      Lon.        Dep.     Mag.   Coef.      Times_MAD           Reference
   1   2023/05/04   00:00:00.010   19.3560   -99.1940     1.23    1.50  0.2774     9.1600      20230511152523.27
   2   2023/05/04   08:19:42.950   19.3605   -99.1875     1.67    0.44  0.3330     9.4700      20230511165546.88
   3   2023/05/04   18:45:29.270   19.3605   -99.2015     0.82    1.16  0.2717     9.6600      20230511042017.00
   1   2023/05/05   05:42:40.170   19.3615   -99.1955     1.53    0.91  0.2654     9.2000      20230511150531.12
   2   2023/05/05   06:24:18.100   19.3635   -99.1915     1.28    1.21  0.2747     9.0800      20230511152523.27
   3   2023/05/05   08:14:13.830   19.3580   -99.1860     1.32    1.24  0.2749     9.0900      20230512234650.64
   4   2023/05/05   12:04:37.240   19.3630   -99.1940     0.82    1.07  0.2759     9.8400      20230511042017.00
   1   2023/05/06   14:07:36.910   19.3740   -99.1930     0.90    1.19  0.2962     9.1200      20230511042229.97
   1   2023/05/07   23:32:35.500   19.3605   -99.1860     1.27    1.58  0.2709     9.0500      20230512234650.64
   1   2023/05/08   05:59:13.890   19.3640   -99.1930     0.81    0.72  0.2794     9.1000      20230511042556.96
   2   2023/05/08   08:01:03.200   19.3605   -99.1990     0.97    0.84  0.2553     9.0800      20230511042017.00
   3   2023/05/08   10:53:39.790   19.3615   -99.1935     1.07    0.98  0.2525     9.1100      20230511074322.89
   4   2023/05/08   15:42:59.630   19.3585   -99.1900     0.70    0.93  0.3110     9.7400      20230511144340.97
   5   2023/05/08   18:15:02.590   19.3665   -99.1835     1.41    1.46  0.2938     9.4200      20230511143828.21
   1   2023/05/09   08:59:00.920   19.3625   -99.1985     0.68    1.44  0.2704     9.0400      20230511042951.59
   2   2023/05/09   09:01:53.480   19.3590   -99.2110     0.15    1.81  0.2525     9.1700      20230511042948.21
   3   2023/05/09   09:20:45.750   19.3680   -99.2015     0.82    0.82  0.2839    10.0600      20230511042017.00
   4   2023/05/09   10:56:59.200   19.3630   -99.1850     1.72    0.67  0.3320     9.4000      20230511165546.88
   1   2023/05/11   04:20:19.760   19.3640   -99.1970     0.91    3.20  1.0000    34.5900      20230511042019.76
   2   2023/05/11   04:21:29.230   19.3690   -99.1900     1.40    1.40  0.9817    31.1100      20230511042129.23
   3   2023/05/11   04:21:48.450   19.3665   -99.1950     1.50    0.87  0.2965     9.3900      20230511042129.23
   4   2023/05/11   04:22:04.630   19.3665   -99.1955     1.05    1.09  0.3111     9.6300      20230511042229.97
   5   2023/05/11   04:22:29.970   19.3690   -99.1980     0.95    1.30  0.9624    29.8100      20230511042229.97
   6   2023/05/11   04:23:12.980   19.3600   -99.2010     0.78    1.83  0.3663    12.3000      20230511042951.59
   7   2023/05/11   04:24:34.060   19.3715   -99.1980     0.85    1.09  0.3111     9.6400      20230511042229.97
   8   2023/05/11   04:25:56.960   19.3640   -99.1980     0.76    1.10  0.9721    31.8200      20230511042556.96
   9   2023/05/11   04:29:51.590   19.3600   -99.2010     0.78    2.60  0.9951    33.4300      20230511042951.59
  10   2023/05/11   04:34:53.090   19.3630   -99.1930     1.23    1.80  0.9755    32.9900      20230511043453.09
  11   2023/05/11   04:40:35.170   19.3600   -99.2010     0.88    2.18  0.4057    13.6300      20230511042951.59
  12   2023/05/11   05:19:35.280   19.3600   -99.2010     0.88    1.80  0.3353    11.2600      20230511042951.59
  13   2023/05/11   07:43:22.890   19.3640   -99.1910     1.17    2.00  0.9839    35.4900      20230511074322.89
  14   2023/05/11   10:39:31.240   19.3690   -99.1980     0.66    0.89  0.4536    14.8500      20230511042556.96
  15   2023/05/11   11:40:28.260   19.3615   -99.1930     0.66    0.71  0.2799     9.1600      20230511042556.96
  16   2023/05/11   13:25:10.260   19.3630   -99.1970     1.42    1.60  0.9877    31.1600      20230511132510.26
  17   2023/05/11   14:14:34.790   19.3590   -99.1885     1.46    1.53  0.2892     9.2200      20230511143828.21
  18   2023/05/11   14:38:28.210   19.3640   -99.1860     1.51    1.60  0.9871    31.4800      20230511143828.21
  19   2023/05/11   14:43:40.970   19.3610   -99.1950     0.65    1.20  0.9912    30.9400      20230511144340.97
  20   2023/05/11   15:05:31.120   19.3640   -99.1930     1.63    2.20  0.9958    34.5000      20230511150531.12
  21   2023/05/11   15:25:23.270   19.3610   -99.1940     1.28    2.00  0.9902    32.8500      20230511152523.27
  22   2023/05/11   15:37:16.540   19.3630   -99.1860     1.32    1.86  0.2751     9.1100      20230512234650.64
  23   2023/05/11   15:58:09.430   19.3600   -99.1960     1.00    1.30  0.9880    26.2600      20230511155809.43
  24   2023/05/11   16:01:19.670   19.3620   -99.1945     0.88    0.95  0.3740    11.5200      20230511171302.72
  25   2023/05/11   16:13:19.540   19.3665   -99.2060     0.25    2.32  0.2613     9.5300      20230511042948.21
  26   2023/05/11   16:46:23.480   19.3680   -99.1900     1.67    0.95  0.3265     9.2700      20230511165546.88
  27   2023/05/11   16:55:46.880   19.3630   -99.1900     1.77    1.20  0.9907    28.1300      20230511165546.88
  28   2023/05/11   17:13:02.720   19.3620   -99.1970     0.78    1.00  0.9942    30.6300      20230511171302.72
  29   2023/05/11   17:37:14.560   19.3665   -99.2060     0.05    2.34  0.2593     9.4600      20230511042948.21
  30   2023/05/11   20:07:49.530   19.3670   -99.2085     0.38    1.55  0.4740    14.0500      20230512101933.83
  31   2023/05/11   21:00:55.020   19.3570   -99.2020     0.73    1.00  0.3278    10.1000      20230511171302.72
   1   2023/05/12   04:05:17.880   19.3595   -99.1920     0.88    0.65  0.4011    12.3500      20230511171302.72
   2   2023/05/12   10:19:33.830   19.3620   -99.2060     0.43    1.30  0.9895    29.3900      20230512101933.83
   3   2023/05/12   10:31:01.190   19.3655   -99.1850     1.77    0.56  0.4447    12.7700      20230511165546.88
   4   2023/05/12   14:32:43.780   19.3580   -99.1885     1.37    1.72  0.2723     9.0600      20230512234650.64
   5   2023/05/12   23:46:50.640   19.3630   -99.1910     1.32    2.20  0.9997    33.2600      20230512234650.64
   1   2023/05/13   01:28:08.320   19.3630   -99.1955     1.13    1.24  0.2637     9.0100      20230511043453.09
   2   2023/05/13   13:23:11.040   19.3680   -99.1990     0.82    1.22  0.2611     9.3600      20230511042017.00
   3   2023/05/13   15:17:27.530   19.3690   -99.1970     0.81    0.96  0.2815     9.8200      20230511042019.76
   1   2023/05/14   14:37:46.080   19.3575   -99.2010     0.73    1.54  0.2717     9.2600      20230511042951.59
   1   2023/05/15   00:41:01.450   19.3720   -99.1930     1.55    1.80  0.9965    31.6700      20230515004101.45
   2   2023/05/15   11:28:55.450   19.3655   -99.1990     0.92    0.76  0.2537     9.0600      20230511042017.00
   3   2023/05/15   12:33:23.200   19.3690   -99.1960     1.27    1.25  0.2579     9.3100      20230511074322.89
   4   2023/05/15   14:45:15.290   19.3690   -99.1910     1.17    1.32  0.2576     9.3000      20230511074322.89
   5   2023/05/15   15:21:46.270   19.3655   -99.1995     1.52    1.20  0.2878     9.1900      20230511132510.26
   1   2023/05/16   06:19:48.530   19.3680   -99.1950     1.87    0.59  0.3226     9.1800      20230511165546.88
   2   2023/05/16   08:50:09.200   19.3630   -99.2040     0.97    0.75  0.2554     9.0800      20230511042017.00
   3   2023/05/16   10:50:30.890   19.3620   -99.1810     1.09    1.60  0.9993    30.1500      20230516105030.89
   4   2023/05/16   22:27:00.560   19.3615   -99.1810     1.56    1.45  0.2827     9.0300      20230511143828.21
   1   2023/05/17   04:09:03.560   19.3630   -99.1810     1.53    1.50  0.9758    29.0000      20230517040903.56
   2   2023/05/17   09:52:57.610   19.3580   -99.1960     1.32    1.02  0.2739     9.1500      20230512234650.64
   3   2023/05/17   14:18:53.260   19.3580   -99.1860     1.42    1.70  0.2768     9.2500      20230512234650.64
   4   2023/05/17   16:33:20.160   19.3680   -99.1945     1.52    1.16  0.2847     9.0100      20230511132510.26
   5   2023/05/17   22:10:12.590   19.3655   -99.1980     1.13    1.45  0.2710     9.2100      20230511043453.09
